city,city_ascii,province_id,province_name
Saint-Pascal,Saint-Pascal,QC,Quebec
Mulmur,Mulmur,ON,Ontario
Blind River,Blind River,ON,Ontario
Dunham,Dunham,QC,Quebec
Havre-Saint-Pierre,Havre-Saint-Pierre,QC,Quebec
Saint-Anselme,Saint-Anselme,QC,Quebec
Trois-Pistoles,Trois-Pistoles,QC,Quebec
Grande-Rivière,Grande-Riviere,QC,Quebec
Powassan,Powassan,ON,Ontario
Malartic,Malartic,QC,Quebec
Bonavista,Bonavista,NL,Newfoundland and Labrador
Killarney - Turtle Mountain,Killarney - Turtle Mountain,MB,Manitoba
Woodlands,Woodlands,MB,Manitoba
Lewisporte,Lewisporte,NL,Newfoundland and Labrador
Saint-Denis-de-Brompton,Saint-Denis-de-Brompton,QC,Quebec
Invermere,Invermere,BC,British Columbia
Salisbury,Salisbury,NB,New Brunswick
Bifrost-Riverton,Bifrost-Riverton,MB,Manitoba
Buckland No. 491,Buckland No. 491,SK,Saskatchewan
Cartier,Cartier,MB,Manitoba
Sainte-Anne-des-Lacs,Sainte-Anne-des-Lacs,QC,Quebec
Highlands East,Highlands East,ON,Ontario
Alexander,Alexander,MB,Manitoba
Sainte-Claire,Sainte-Claire,QC,Quebec
Percé,Perce,QC,Quebec
Saint-Jean-Port-Joli,Saint-Jean-Port-Joli,QC,Quebec
East Hawkesbury,East Hawkesbury,ON,Ontario
Bright,Bright,NB,New Brunswick
Penhold,Penhold,AB,Alberta
Saint-André-d'Argenteuil,Saint-Andre-d'Argenteuil,QC,Quebec
Saint-Côme--Linière,Saint-Come--Liniere,QC,Quebec
Saint-Sulpice,Saint-Sulpice,QC,Quebec
Marathon,Marathon,ON,Ontario
Forestville,Forestville,QC,Quebec
Inuvik,Inuvik,NT,Northwest Territories
Richmond,Richmond,QC,Quebec
Lake Cowichan,Lake Cowichan,BC,British Columbia
Sables-Spanish Rivers,Sables-Spanish Rivers,ON,Ontario
Hillsburg-Roblin-Shell River,Hillsburg-Roblin-Shell River,MB,Manitoba
Port Hawkesbury,Port Hawkesbury,NS,Nova Scotia
Three Hills,Three Hills,AB,Alberta
Lorette,Lorette,MB,Manitoba
Paspebiac,Paspebiac,QC,Quebec
Saint-Thomas,Saint-Thomas,QC,Quebec
Saint-Jean-Baptiste,Saint-Jean-Baptiste,QC,Quebec
Portneuf,Portneuf,QC,Quebec
Pictou,Pictou,NS,Nova Scotia
Tisdale,Tisdale,SK,Saskatchewan
Lake of Bays,Lake of Bays,ON,Ontario
High Level,High Level,AB,Alberta
Gibbons,Gibbons,AB,Alberta
Bishops Falls,Bishops Falls,NL,Newfoundland and Labrador
WestLake-Gladstone,WestLake-Gladstone,MB,Manitoba
Normandin,Normandin,QC,Quebec
Saint-Alphonse-Rodriguez,Saint-Alphonse-Rodriguez,QC,Quebec
Beauséjour,Beausejour,MB,Manitoba
Dalhousie,Dalhousie,NB,New Brunswick
Saint-Alphonse-de-Granby,Saint-Alphonse-de-Granby,QC,Quebec
Lac du Bonnet,Lac du Bonnet,MB,Manitoba
Clermont,Clermont,QC,Quebec
Virden,Virden,MB,Manitoba
Compton,Compton,QC,Quebec
White City,White City,SK,Saskatchewan
Ellison,Ellison,BC,British Columbia
Mont-Saint-Grégoire,Mont-Saint-Gregoire,QC,Quebec
Wellington,Wellington,NB,New Brunswick
Merrickville,Merrickville,ON,Ontario
Saint-Liboire,Saint-Liboire,QC,Quebec
Dégelis,Degelis,QC,Quebec
Morris,Morris,MB,Manitoba
Saint-Alexis-des-Monts,Saint-Alexis-des-Monts,QC,Quebec
Cap-Saint-Ignace,Cap-Saint-Ignace,QC,Quebec
Saint-Anaclet-de-Lessard,Saint-Anaclet-de-Lessard,QC,Quebec
Carman,Carman,MB,Manitoba
Athens,Athens,ON,Ontario
Melancthon,Melancthon,ON,Ontario
Cap Santé,Cap Sante,QC,Quebec
Harbour Grace,Harbour Grace,NL,Newfoundland and Labrador
Houston,Houston,BC,British Columbia
Adelaide-Metcalfe,Adelaide-Metcalfe,ON,Ontario
Crossfield,Crossfield,AB,Alberta
Springdale,Springdale,NL,Newfoundland and Labrador
Fort Macleod,Fort Macleod,AB,Alberta
Athabasca,Athabasca,AB,Alberta
Enderby,Enderby,BC,British Columbia
Saint-Ferréol-les-Neiges,Saint-Ferreol-les-Neiges,QC,Quebec
Laurentian Hills,Laurentian Hills,ON,Ontario
Grand Valley,Grand Valley,ON,Ontario
Senneterre,Senneterre,QC,Quebec
Sainte-Marie-Madeleine,Sainte-Marie-Madeleine,QC,Quebec
Admaston/Bromley,Admaston/Bromley,ON,Ontario
Saint-Gabriel-de-Valcartier,Saint-Gabriel-de-Valcartier,QC,Quebec
North Algona Wilberforce,North Algona Wilberforce,ON,Ontario
Kingston,Kingston,NB,New Brunswick
Wawa,Wawa,ON,Ontario
Saint-Christophe-d'Arthabaska,Saint-Christophe-d'Arthabaska,QC,Quebec
Sainte-Mélanie,Sainte-Melanie,QC,Quebec
Ascot Corner,Ascot Corner,QC,Quebec
Horton,Horton,ON,Ontario
Saint-Michel,Saint-Michel,QC,Quebec
Botwood,Botwood,NL,Newfoundland and Labrador
Saint-Paul-d'Abbotsford,Saint-Paul-d'Abbotsford,QC,Quebec
Saint-Marc-des-Carrières,Saint-Marc-des-Carrieres,QC,Quebec
Stanstead,Stanstead,QC,Quebec
Sainte-Anne-de-Beaupré,Sainte-Anne-de-Beaupre,QC,Quebec
Sainte-Luce,Sainte-Luce,QC,Quebec
Saint-Gabriel,Saint-Gabriel,QC,Quebec
Rankin Inlet,Rankin Inlet,NU,Nunavut
Vanscoy No. 345,Vanscoy No. 345,SK,Saskatchewan
Cedar,Cedar,BC,British Columbia
Princeton,Princeton,BC,British Columbia
La Loche,La Loche,SK,Saskatchewan
Kingsclear,Kingsclear,NB,New Brunswick
Ferme-Neuve,Ferme-Neuve,QC,Quebec
Thurso,Thurso,QC,Quebec
Adstock,Adstock,QC,Quebec
Shuniah,Shuniah,ON,Ontario
Enniskillen,Enniskillen,ON,Ontario
Yamachiche,Yamachiche,QC,Quebec
Saint-Maurice,Saint-Maurice,QC,Quebec
Bonaventure,Bonaventure,QC,Quebec
Val-Morin,Val-Morin,QC,Quebec
Pohénégamook,Pohenegamook,QC,Quebec
Wakefield,Wakefield,NB,New Brunswick
Stoke,Stoke,QC,Quebec
Sainte-Marguerite-du-Lac-Masson,Sainte-Marguerite-du-Lac-Masson,QC,Quebec
Saint-Prime,Saint-Prime,QC,Quebec
Kuujjuaq,Kuujjuaq,QC,Quebec
Atikokan,Atikokan,ON,Ontario
Grenville-sur-la-Rouge,Grenville-sur-la-Rouge,QC,Quebec
North Cypress-Langford,North Cypress-Langford,MB,Manitoba
Sainte-Anne-de-Sorel,Sainte-Anne-de-Sorel,QC,Quebec
Macamic,Macamic,QC,Quebec
Sundre,Sundre,AB,Alberta
Rougemont,Rougemont,QC,Quebec
Piedmont,Piedmont,QC,Quebec
Grimshaw,Grimshaw,AB,Alberta
Lac-des-Écorces,Lac-des-Ecorces,QC,Quebec
Northeastern Manitoulin and the Islands,Northeastern Manitoulin and the Islands,ON,Ontario
Pelican Narrows,Pelican Narrows,SK,Saskatchewan
McDougall,McDougall,ON,Ontario
Black Diamond,Black Diamond,AB,Alberta
Saint-Pamphile,Saint-Pamphile,QC,Quebec
Bedford,Bedford,QC,Quebec
Weedon-Centre,Weedon-Centre,QC,Quebec
Lacolle,Lacolle,QC,Quebec
Saint-Gabriel-de-Brandon,Saint-Gabriel-de-Brandon,QC,Quebec
Errington,Errington,BC,British Columbia
Coalhurst,Coalhurst,AB,Alberta
French River / Rivière des Français,French River / Riviere des Francais,ON,Ontario
Arviat,Arviat,NU,Nunavut
Saint-David-de-Falardeau,Saint-David-de-Falardeau,QC,Quebec
Markstay,Markstay,ON,Ontario
Spaniards Bay,Spaniards Bay,NL,Newfoundland and Labrador
Cocagne,Cocagne,NB,New Brunswick
Saint-Bruno,Saint-Bruno,QC,Quebec
Chetwynd,Chetwynd,BC,British Columbia
Laurier-Station,Laurier-Station,QC,Quebec
Saint-Anicet,Saint-Anicet,QC,Quebec
Saint-Mathieu-de-Beloeil,Saint-Mathieu-de-Beloeil,QC,Quebec
Cap-Chat,Cap-Chat,QC,Quebec
Sexsmith,Sexsmith,AB,Alberta
Notre-Dame-de-Lourdes,Notre-Dame-de-Lourdes,QC,Quebec
Ville-Marie,Ville-Marie,QC,Quebec
Saint-Isidore,Saint-Isidore,QC,Quebec
Shippegan,Shippegan,NB,New Brunswick
East Garafraxa,East Garafraxa,ON,Ontario
Pemberton,Pemberton,BC,British Columbia
Unity,Unity,SK,Saskatchewan
Rimbey,Rimbey,AB,Alberta
High Prairie,High Prairie,AB,Alberta
Turner Valley,Turner Valley,AB,Alberta
Hanna,Hanna,AB,Alberta
Fort Smith,Fort Smith,NT,Northwest Territories
Maria,Maria,QC,Quebec
Saint-Chrysostome,Saint-Chrysostome,QC,Quebec
Greater Madawaska,Greater Madawaska,ON,Ontario
Berwick,Berwick,NS,Nova Scotia
Saint-Damase,Saint-Damase,QC,Quebec
Lincoln,Lincoln,NB,New Brunswick
Disraeli,Disraeli,QC,Quebec
Sainte-Victoire-de-Sorel,Sainte-Victoire-de-Sorel,QC,Quebec
Meadow Lake No. 588,Meadow Lake No. 588,SK,Saskatchewan
Elkford,Elkford,BC,British Columbia
Georgian Bay,Georgian Bay,ON,Ontario
Saint-Alexandre,Saint-Alexandre,QC,Quebec
Hérbertville,Herbertville,QC,Quebec
Moosomin,Moosomin,SK,Saskatchewan
North Kawartha,North Kawartha,ON,Ontario
Sainte-Thècle,Sainte-Thecle,QC,Quebec
Trenton,Trenton,NS,Nova Scotia
Fermont,Fermont,QC,Quebec
Esterhazy,Esterhazy,SK,Saskatchewan
Wickham,Wickham,QC,Quebec
La Présentation,La Presentation,QC,Quebec
Beaverlodge,Beaverlodge,AB,Alberta
Sainte-Catherine-de-Hatley,Sainte-Catherine-de-Hatley,QC,Quebec
Saint-Basile,Saint-Basile,QC,Quebec
Saint-Raphaël,Saint-Raphael,QC,Quebec
Holyrood,Holyrood,NL,Newfoundland and Labrador
Gracefield,Gracefield,QC,Quebec
Saint-Martin,Saint-Martin,QC,Quebec
Causapscal,Causapscal,QC,Quebec
Brigham,Brigham,QC,Quebec
Perry,Perry,ON,Ontario
Port-Daniel--Gascons,Port-Daniel--Gascons,QC,Quebec
Rosetown,Rosetown,SK,Saskatchewan
Minnedosa,Minnedosa,MB,Manitoba
Labelle,Labelle,QC,Quebec
Huntingdon,Huntingdon,QC,Quebec
Hébertville,Hebertville,QC,Quebec
Black River-Matheson,Black River-Matheson,ON,Ontario
Saint-Michel-des-Saints,Saint-Michel-des-Saints,QC,Quebec
Dufferin,Dufferin,MB,Manitoba
Saint-Victor,Saint-Victor,QC,Quebec
Sicamous,Sicamous,BC,British Columbia
Cap Pele,Cap Pele,NB,New Brunswick
Kelsey,Kelsey,MB,Manitoba
"Killaloe, Hagarty and Richards","Killaloe, Hagarty and Richards",ON,Ontario
Alvinston,Alvinston,ON,Ontario
Dundurn No. 314,Dundurn No. 314,SK,Saskatchewan
Saint-Éphrem-de-Beauce,Saint-Ephrem-de-Beauce,QC,Quebec
Assiniboia,Assiniboia,SK,Saskatchewan
Témiscaming,Temiscaming,QC,Quebec
Magrath,Magrath,AB,Alberta
Sainte-Geneviève-de-Berthier,Sainte-Genevieve-de-Berthier,QC,Quebec
Buctouche,Buctouche,NB,New Brunswick
Grand Manan,Grand Manan,NB,New Brunswick
Sainte-Madeleine,Sainte-Madeleine,QC,Quebec
Boissevain,Boissevain,MB,Manitoba
Scott,Scott,QC,Quebec
Sainte-Croix,Sainte-Croix,QC,Quebec
Algonquin Highlands,Algonquin Highlands,ON,Ontario
Valcourt,Valcourt,QC,Quebec
Saint George,Saint George,NB,New Brunswick
Paquetville,Paquetville,NB,New Brunswick
Saint-Dominique,Saint-Dominique,QC,Quebec
Clearwater,Clearwater,BC,British Columbia
Addington Highlands,Addington Highlands,ON,Ontario
Lillooet,Lillooet,BC,British Columbia
Burin,Burin,NL,Newfoundland and Labrador
Grand Bank,Grand Bank,NL,Newfoundland and Labrador
Léry,Lery,QC,Quebec
Minto,Minto,NB,New Brunswick
Rosthern No. 403,Rosthern No. 403,SK,Saskatchewan
Chase,Chase,BC,British Columbia
Mansfield-et-Pontefract,Mansfield-et-Pontefract,QC,Quebec
Saint-Denis,Saint-Denis,QC,Quebec
Outlook,Outlook,SK,Saskatchewan
Mitchell,Mitchell,MB,Manitoba
Saint-Gédéon-de-Beauce,Saint-Gedeon-de-Beauce,QC,Quebec
Saint-Léonard-d'Aston,Saint-Leonard-d'Aston,QC,Quebec
Lunenburg,Lunenburg,NS,Nova Scotia
Northesk,Northesk,NB,New Brunswick
Albanel,Albanel,QC,Quebec
St. Anthony,St. Anthony,NL,Newfoundland and Labrador
Pessamit,Pessamit,QC,Quebec
Maskinongé,Maskinonge,QC,Quebec
Saint-Charles-de-Bellechasse,Saint-Charles-de-Bellechasse,QC,Quebec
Fogo Island,Fogo Island,NL,Newfoundland and Labrador
East Broughton,East Broughton,QC,Quebec
Lantz,Lantz,NS,Nova Scotia
Calmar,Calmar,AB,Alberta
Highlands,Highlands,BC,British Columbia
Saint-Polycarpe,Saint-Polycarpe,QC,Quebec
Logy Bay-Middle Cove-Outer Cove,Logy Bay-Middle Cove-Outer Cove,NL,Newfoundland and Labrador
Deschambault,Deschambault,QC,Quebec
Canora,Canora,SK,Saskatchewan
Upper Miramichi,Upper Miramichi,NB,New Brunswick
Anmore,Anmore,BC,British Columbia
Hardwicke,Hardwicke,NB,New Brunswick
Saint-Côme,Saint-Come,QC,Quebec
Waskaganish,Waskaganish,QC,Quebec
Twillingate,Twillingate,NL,Newfoundland and Labrador
Saint-Quentin,Saint-Quentin,NB,New Brunswick
Lebel-sur-Quévillon,Lebel-sur-Quevillon,QC,Quebec
Pilot Butte,Pilot Butte,SK,Saskatchewan
Nanton,Nanton,AB,Alberta
Pierreville,Pierreville,QC,Quebec
New-Wes-Valley,New-Wes-Valley,NL,Newfoundland and Labrador
Pennfield Ridge,Pennfield Ridge,NB,New Brunswick
West Interlake,West Interlake,MB,Manitoba
Biggar,Biggar,SK,Saskatchewan
Britannia No. 502,Britannia No. 502,SK,Saskatchewan
Kent,Kent,NB,New Brunswick
Wabana,Wabana,NL,Newfoundland and Labrador
Saint-Gilles,Saint-Gilles,QC,Quebec
Wendake,Wendake,QC,Quebec
Saint-Bernard,Saint-Bernard,QC,Quebec
Sainte-Cécile-de-Milton,Sainte-Cecile-de-Milton,QC,Quebec
Saint-Roch-de-Richelieu,Saint-Roch-de-Richelieu,QC,Quebec
Saint-Nazaire,Saint-Nazaire,QC,Quebec
Saint-Elzéar,Saint-Elzear,QC,Quebec
Hinchinbrooke,Hinchinbrooke,QC,Quebec
Saint-François-Xavier-de-Brompton,Saint-Francois-Xavier-de-Brompton,QC,Quebec
Papineauville,Papineauville,QC,Quebec
Prairie View,Prairie View,MB,Manitoba
Cowichan Bay,Cowichan Bay,BC,British Columbia
Saint-Ignace-de-Loyola,Saint-Ignace-de-Loyola,QC,Quebec
Central Manitoulin,Central Manitoulin,ON,Ontario
Maple Creek,Maple Creek,SK,Saskatchewan
Glovertown,Glovertown,NL,Newfoundland and Labrador
Tofield,Tofield,AB,Alberta
Madoc,Madoc,ON,Ontario
Upton,Upton,QC,Quebec
Sainte-Anne-de-Sabrevois,Sainte-Anne-de-Sabrevois,QC,Quebec
Logan Lake,Logan Lake,BC,British Columbia
Sainte-Anne-de-la-Pérade,Sainte-Anne-de-la-Perade,QC,Quebec
Saint-Damien-de-Buckland,Saint-Damien-de-Buckland,QC,Quebec
Baker Lake,Baker Lake,NU,Nunavut
Saltair,Saltair,BC,British Columbia
Pouch Cove,Pouch Cove,NL,Newfoundland and Labrador
Saint-Ferdinand,Saint-Ferdinand,QC,Quebec
Port McNeill,Port McNeill,BC,British Columbia
Digby,Digby,NS,Nova Scotia
Manouane,Manouane,QC,Quebec
Saint-Gervais,Saint-Gervais,QC,Quebec
Neebing,Neebing,ON,Ontario
Redwater,Redwater,AB,Alberta
Saint-Alexandre-de-Kamouraska,Saint-Alexandre-de-Kamouraska,QC,Quebec
Saint-Marc-sur-Richelieu,Saint-Marc-sur-Richelieu,QC,Quebec
Mandeville,Mandeville,QC,Quebec
Caplan,Caplan,QC,Quebec
Point Edward,Point Edward,ON,Ontario
Allardville,Allardville,NB,New Brunswick
Waterville,Waterville,QC,Quebec
Saint-Damien,Saint-Damien,QC,Quebec
Lac-Nominingue,Lac-Nominingue,QC,Quebec
Obedjiwan,Obedjiwan,QC,Quebec
Rama,Rama,SK,Saskatchewan
McCreary,McCreary,MB,Manitoba
Deloraine-Winchester,Deloraine-Winchester,MB,Manitoba
Oakland-Wawanesa,Oakland-Wawanesa,MB,Manitoba
Brenda-Waskada,Brenda-Waskada,MB,Manitoba
Russell-Binscarth,Russell-Binscarth,MB,Manitoba
Ellice-Archie,Ellice-Archie,MB,Manitoba
Souris-Glenwood,Souris-Glenwood,MB,Manitoba
Riverdale,Riverdale,MB,Manitoba
Pembina,Pembina,MB,Manitoba
Wallace-Woodworth,Wallace-Woodworth,MB,Manitoba
Lorne,Lorne,MB,Manitoba
Ethelbert,Ethelbert,MB,Manitoba
Yellowhead,Yellowhead,MB,Manitoba
Swan Valley West,Swan Valley West,MB,Manitoba
Grey,Grey,MB,Manitoba
Gilbert Plains,Gilbert Plains,MB,Manitoba
Norfolk-Treherne,Norfolk-Treherne,MB,Manitoba
Hamiota,Hamiota,MB,Manitoba
Emerson-Franklin,Emerson-Franklin,MB,Manitoba
Sifton,Sifton,MB,Manitoba
Rossburn,Rossburn,MB,Manitoba
Grand View,Grand View,MB,Manitoba
Grassland,Grassland,MB,Manitoba
Louise,Louise,MB,Manitoba
Ste. Rose,Ste. Rose,MB,Manitoba
Cartwright-Roblin,Cartwright-Roblin,MB,Manitoba
Mossey River,Mossey River,MB,Manitoba
Lakeshore,Lakeshore,MB,Manitoba
Riding Mountain West,Riding Mountain West,MB,Manitoba
Clanwilliam-Erickson,Clanwilliam-Erickson,MB,Manitoba
Glenboro-South Cypress,Glenboro-South Cypress,MB,Manitoba
North Norfolk,North Norfolk,MB,Manitoba
Reinland,Reinland,MB,Manitoba
Minitonas-Bowsman,Minitonas-Bowsman,MB,Manitoba
Kippens,Kippens,NL,Newfoundland and Labrador
Blucher,Blucher,SK,Saskatchewan
Hatley,Hatley,QC,Quebec
Saint-Gédéon,Saint-Gedeon,QC,Quebec
Kingsey Falls,Kingsey Falls,QC,Quebec
Provost,Provost,AB,Alberta
Saint-Charles,Saint-Charles,NB,New Brunswick
Mattawa,Mattawa,ON,Ontario
Tumbler Ridge,Tumbler Ridge,BC,British Columbia
Terrasse-Vaudreuil,Terrasse-Vaudreuil,QC,Quebec
L'Ascension-de-Notre-Seigneur,L'Ascension-de-Notre-Seigneur,QC,Quebec
Bow Island,Bow Island,AB,Alberta
Barraute,Barraute,QC,Quebec
One Hundred Mile House,One Hundred Mile House,BC,British Columbia
Kedgwick,Kedgwick,NB,New Brunswick
Gambo,Gambo,NL,Newfoundland and Labrador
Saint-Liguori,Saint-Liguori,QC,Quebec
Bonfield,Bonfield,ON,Ontario
Pointe-Lebel,Pointe-Lebel,QC,Quebec
Saint Mary,Saint Mary,NB,New Brunswick
Saint-Patrice-de-Sherrington,Saint-Patrice-de-Sherrington,QC,Quebec
Fox Creek,Fox Creek,AB,Alberta
Dawn-Euphemia,Dawn-Euphemia,ON,Ontario
Chapleau,Chapleau,ON,Ontario
Saint-Esprit,Saint-Esprit,QC,Quebec
Westfield Beach,Westfield Beach,NB,New Brunswick
Montague,Montague,PE,Prince Edward Island
Mashteuiatsh,Mashteuiatsh,QC,Quebec
Saint-François-du-Lac,Saint-Francois-du-Lac,QC,Quebec
Eel River Crossing,Eel River Crossing,NB,New Brunswick
Saint-Fulgence,Saint-Fulgence,QC,Quebec
Millet,Millet,AB,Alberta
Vallée-Jonction,Vallee-Jonction,QC,Quebec
Saint-Georges-de-Cacouna,Saint-Georges-de-Cacouna,QC,Quebec
Lumsden No. 189,Lumsden No. 189,SK,Saskatchewan
Manitouwadge,Manitouwadge,ON,Ontario
Wellington,Wellington,ON,Ontario
Swift Current No. 137,Swift Current No. 137,SK,Saskatchewan
Tofino,Tofino,BC,British Columbia
Fort Qu’Appelle,Fort Qu'Appelle,SK,Saskatchewan
Vulcan,Vulcan,AB,Alberta
Indian Head,Indian Head,SK,Saskatchewan
Petit Rocher,Petit Rocher,NB,New Brunswick
Wabush,Wabush,NL,Newfoundland and Labrador
Saint-Fabien,Saint-Fabien,QC,Quebec
Watrous,Watrous,SK,Saskatchewan
North Frontenac,North Frontenac,ON,Ontario
Lac-Supérieur,Lac-Superieur,QC,Quebec
Les Escoumins,Les Escoumins,QC,Quebec
Richibucto,Richibucto,NB,New Brunswick
Rivière-Beaudette,Riviere-Beaudette,QC,Quebec
Saint-Barthélemy,Saint-Barthelemy,QC,Quebec
Nisga'a,Nisga'a,BC,British Columbia
Austin,Austin,QC,Quebec
Saint-Mathieu,Saint-Mathieu,QC,Quebec
Saint-Paul-de-l'Île-aux-Noix,Saint-Paul-de-l'Ile-aux-Noix,QC,Quebec
Orkney No. 244,Orkney No. 244,SK,Saskatchewan
Behchokò,Behchoko,NT,Northwest Territories
Saint-Joseph-de-Coleraine,Saint-Joseph-de-Coleraine,QC,Quebec
Saint-Cyprien-de-Napierville,Saint-Cyprien-de-Napierville,QC,Quebec
Sayabec,Sayabec,QC,Quebec
Valleyview,Valleyview,AB,Alberta
Déléage,Deleage,QC,Quebec
Potton,Potton,QC,Quebec
Sainte-Béatrix,Sainte-Beatrix,QC,Quebec
Sainte-Justine,Sainte-Justine,QC,Quebec
Eastman,Eastman,QC,Quebec
Saint-Valérien-de-Milton,Saint-Valerien-de-Milton,QC,Quebec
Saint-Cuthbert,Saint-Cuthbert,QC,Quebec
Saint-Blaise-sur-Richelieu,Saint-Blaise-sur-Richelieu,QC,Quebec
Middleton,Middleton,NS,Nova Scotia
Maugerville,Maugerville,NB,New Brunswick
Dalmeny,Dalmeny,SK,Saskatchewan
Kamsack,Kamsack,SK,Saskatchewan
Lumsden,Lumsden,SK,Saskatchewan
Trinity Bay North,Trinity Bay North,NL,Newfoundland and Labrador
Saint-Michel-de-Bellechasse,Saint-Michel-de-Bellechasse,QC,Quebec
Sainte-Angèle-de-Monnoir,Sainte-Angele-de-Monnoir,QC,Quebec
Picture Butte,Picture Butte,AB,Alberta
Sacré-Coeur-Saguenay,Sacre-Coeur-Saguenay,QC,Quebec
Saint-Louis,Saint-Louis,NB,New Brunswick
Victoria,Victoria,NL,Newfoundland and Labrador
Saint-Robert,Saint-Robert,QC,Quebec
Armstrong,Armstrong,MB,Manitoba
Saint-Pierre-de-l'Île-d'Orléans,Saint-Pierre-de-l'Ile-d'Orleans,QC,Quebec
La Guadeloupe,La Guadeloupe,QC,Quebec
Saint Andrews,Saint Andrews,NB,New Brunswick
Burns Lake,Burns Lake,BC,British Columbia
Povungnituk,Povungnituk,QC,Quebec
Manners Sutton,Manners Sutton,NB,New Brunswick
Gore,Gore,QC,Quebec
Deseronto,Deseronto,ON,Ontario
Lamont,Lamont,AB,Alberta
Chambord,Chambord,QC,Quebec
Dudswell,Dudswell,QC,Quebec
Wynyard,Wynyard,SK,Saskatchewan
Cambridge Bay,Cambridge Bay,NU,Nunavut
Saint-Narcisse,Saint-Narcisse,QC,Quebec
Frontenac Islands,Frontenac Islands,ON,Ontario
Waswanipi,Waswanipi,QC,Quebec
Inukjuak,Inukjuak,QC,Quebec
Piney,Piney,MB,Manitoba
Komoka,Komoka,ON,Ontario
Saint-Zacharie,Saint-Zacharie,QC,Quebec
Hemmingford,Hemmingford,QC,Quebec
Shelburne,Shelburne,NS,Nova Scotia
Saint-Clet,Saint-Clet,QC,Quebec
Carberry,Carberry,MB,Manitoba
Brighton,Brighton,NB,New Brunswick
Saint-Antoine,Saint-Antoine,NB,New Brunswick
Warfield,Warfield,BC,British Columbia
Northampton,Northampton,NB,New Brunswick
Saint-Ours,Saint-Ours,QC,Quebec
Stephenville Crossing,Stephenville Crossing,NL,Newfoundland and Labrador
Sainte-Anne-de-la-Pocatière,Sainte-Anne-de-la-Pocatiere,QC,Quebec
Ucluelet,Ucluelet,BC,British Columbia
Saint-Placide,Saint-Placide,QC,Quebec
Barrière,Barriere,BC,British Columbia
Fisher,Fisher,MB,Manitoba
Nipissing,Nipissing,ON,Ontario
Sainte-Clotilde,Sainte-Clotilde,QC,Quebec
Shaunavon,Shaunavon,SK,Saskatchewan
Wicklow,Wicklow,NB,New Brunswick
Southesk,Southesk,NB,New Brunswick
Nouvelle,Nouvelle,QC,Quebec
Rosthern,Rosthern,SK,Saskatchewan
Yamaska,Yamaska,QC,Quebec
Neguac,Neguac,NB,New Brunswick
Flat Rock,Flat Rock,NL,Newfoundland and Labrador
Igloolik,Igloolik,NU,Nunavut
Grunthal,Grunthal,MB,Manitoba
Naramata,Naramata,BC,British Columbia
Saint-Élie-de-Caxton,Saint-Elie-de-Caxton,QC,Quebec
Blumenort,Blumenort,MB,Manitoba
Balmoral,Balmoral,NB,New Brunswick
Price,Price,QC,Quebec
Rosedale,Rosedale,MB,Manitoba
Saint-Jacques-le-Mineur,Saint-Jacques-le-Mineur,QC,Quebec
Huron Shores,Huron Shores,ON,Ontario
Champlain,Champlain,QC,Quebec
Whitehead,Whitehead,MB,Manitoba
Saint-Antoine-sur-Richelieu,Saint-Antoine-sur-Richelieu,QC,Quebec
Saint-Pacôme,Saint-Pacome,QC,Quebec
Saint-Stanislas-de-Kostka,Saint-Stanislas-de-Kostka,QC,Quebec
Frontenac,Frontenac,QC,Quebec
Stuartburn,Stuartburn,MB,Manitoba
Yamaska-Est,Yamaska-Est,QC,Quebec
Sainte-Émélie-de-l'Énergie,Sainte-Emelie-de-l'Energie,QC,Quebec
Saint-Charles-sur-Richelieu,Saint-Charles-sur-Richelieu,QC,Quebec
Saint-Joseph-de-Sorel,Saint-Joseph-de-Sorel,QC,Quebec
Nipigon,Nipigon,ON,Ontario
Rivière-Blanche,Riviere-Blanche,QC,Quebec
Sainte-Hélène-de-Bagot,Sainte-Helene-de-Bagot,QC,Quebec
Franklin Centre,Franklin Centre,QC,Quebec
Harbour Breton,Harbour Breton,NL,Newfoundland and Labrador
Massey Drive,Massey Drive,NL,Newfoundland and Labrador
Mille-Isles,Mille-Isles,QC,Quebec
Wilton No. 472,Wilton No. 472,SK,Saskatchewan
Lyster,Lyster,QC,Quebec
Oakview,Oakview,MB,Manitoba
Balgonie,Balgonie,SK,Saskatchewan
Harrison Park,Harrison Park,MB,Manitoba
Kensington,Kensington,PE,Prince Edward Island
Witless Bay,Witless Bay,NL,Newfoundland and Labrador
Pond Inlet,Pond Inlet,NU,Nunavut
Royston,Royston,BC,British Columbia
Sainte-Clotilde-de-Horton,Sainte-Clotilde-de-Horton,QC,Quebec
Burford,Burford,ON,Ontario
Fossambault-sur-le-Lac,Fossambault-sur-le-Lac,QC,Quebec
Saint-Benoît-Labre,Saint-Benoit-Labre,QC,Quebec
Coombs,Coombs,BC,British Columbia
Terrace Bay,Terrace Bay,ON,Ontario
Chapais,Chapais,QC,Quebec
Saint-Honoré-de-Shenley,Saint-Honore-de-Shenley,QC,Quebec
Cleveland,Cleveland,QC,Quebec
"Macdonald, Meredith and Aberdeen Additional","Macdonald, Meredith and Aberdeen Additional",ON,Ontario
Messines,Messines,QC,Quebec
Saint-Jean-de-Dieu,Saint-Jean-de-Dieu,QC,Quebec
Nakusp,Nakusp,BC,British Columbia
Florenceville,Florenceville,NB,New Brunswick
